"ano","soma_pesorake"
2006,30046192.0336301
2007,31784894.9903512
2008,31992028.9958371
2009,32485701.91202
2010,33423349.0099551
2011,33702304.9836175
2012,33972288.9960055
2013,34245015.9316235
2014,34520527.0099463
2015,34798855
2016,35080036
2017,35364105.9999999
2018,70673379.9999999
2019,35941061
2020,36234023
2021,36478036.7646484
2023,37047922.6518555
