variavel,codigo,rotulo
hortadia,,
sucodia,,
sofrutadia,,
frutadia,,
flvdia,,
flvreco,0,Não
flvreco,1,Sim
flvreco_pns,0,Não
flvreco_pns,1,Sim
carneg,0,Não
carneg,1,Sim
franpl,0,Não
franpl,1,Sim
gordura,0,Não
gordura,1,Sim
leiteint,0,Não
leiteint,1,Sim
doces5,0,Não
doces5,1,Sim
refritl5,0,Não
refritl5,1,Sim
feijao5,0,Não
feijao5,1,Sim
score_sf_2cat,0,Não
score_sf_2cat,1,Sim
score_upp_2cat2024,0,Não
score_upp_2cat2024,1,Sim
score_upp_2cat,0,Não
score_upp_2cat,1,Sim
lanche_7,0,Não
lanche_7,1,Sim
cont_lanche_7,,
sal,0,Não
sal,1,Sim
atilaz,0,Não
atilaz,1,Sim
af,,
freq,,
time,,
time_2023,,
ati_livre,,
ati_livre_2023,,
ativo_livre,0,Inativo/Ins
ativo_livre,1,Ativo
atitrans,0,Não
atitrans,1,Sim
atidom,0,Não
atidom,1,Sim
atiocu,0,Não
atiocu,1,Sim
inativo,0,Não
inativo,1,Sim
inativo_2023,0,Não
inativo_2023,1,Sim
q51medio,,
q51medio_2023,,
q54medio,,
q54medio_2023,,
deslocdia,,
deslocdia_2023,,
deslocsemana,,
deslocsemana_2023,,
atiocusemana,,
faxinasemana,,
af3dominios,0,Não
af3dominios,1,Sim
af3dominios_2023,0,Não
af3dominios_2023,1,Sim
af3dominios_insu,0,Não
af3dominios_insu,1,Sim
af3dominios_insu_2023,0,Não
af3dominios_insu_2023,1,Sim
tv_d_3,0,Não
tv_d_3,1,Sim
tempo_tela_stv,0,Não
tempo_tela_stv,1,Sim
tempo_tela_total,0,Não
tempo_tela_total,1,Sim
alcabu,0,Não
alcabu,1,Sim
saruim,0,Não
saruim,1,Sim
iddmamo,1,50 a 59 anos
iddmamo,2,60 a 69 anos
mamo,0,Não
mamo,1,Sim
mamodois,0,Não
mamodois,1,Sim
iddpapa_old,1,25 a 34 anos
iddpapa_old,2,35 a 44 anos
iddpapa_old,3,45 a 54 anos
iddpapa_old,4,55 a 59 anos
iddpapa,1,25 a 34 anos
iddpapa,2,35 a 44 anos
iddpapa,3,45 a 54 anos
iddpapa,4,55 a 64 anos
papa,0,Não
papa,1,Sim
papatres,0,Não
papatres,1,Sim
hart,0,Não
hart,1,Sim
ind_med_has,0,Não
ind_med_has,1,Sim
med_has,0,Não
med_has,1,Sim
trat_med_has,0,Não
trat_med_has,1,Sim
diab,0,Não
diab,1,Sim
ind_med_db,0,Não
ind_med_db,1,Sim
med_db,0,Não
med_db,1,Sim
trat_med_db,0,Não
trat_med_db,1,Sim
insulina,0,Não
insulina,1,Sim
dislip,0,Não
dislip,1,Sim
depressao,0,Não
depressao,1,Sim
ind_med_depr,0,Não
ind_med_depr,1,Sim
trat_med_depr,0,Não
trat_med_depr,1,Sim
conducao,0,Não
conducao,1,Sim
r701_time,,
sono_curto,0,Não
sono_curto,1,Sim
insonia,0,Não
insonia,1,Sim
