variavel,codigo,rotulo
r144a,1,1 a 2 dias por semana
r144a,2,3 a 4 dias por semana
r144a,3,5 a 6 dias por semana
r144a,4,todos os dias ( inclusive sábado e domingo)
r144a,5,quase nunca
r144a,6,nunca
r144b,1,1 a 2 dias por semana
r144b,2,3 a 4 dias por semana
r144b,3,5 a 6 dias por semana
r144b,4,todos os dias ( inclusive sábado e domingo)
r144b,5,quase nunca
r144b,6,nunca
r1001,1,sim
r1001,2,não
r1001,888,não quis informar
r1002,1,sim
r1002,2,não
r1002,888,não quis informar
q35,1,sim
q35,2,"sim, mas não no último mês"
q35,3,não consumo
q35,4,nunca consumi
q35,888,não quis informar
q36,1,1 a 2 dias por semana
q36,2,3 a 4 dias por semana
q36,3,5 a 6 dias por semana
q36,4,todos os dias ( inclusive sábado e domingo)
q36,5,menos de 1 dia por semana
q36,6,menos de 1 dia por mês
r1003,,
q37,1,sim
q37,2,não
q37a,1,sim
q37a,2,não
q37b,1,sim
q37b,2,não
q38,1,sim
q38,2,não
q38a,1,sim
q38a,2,não
q38b,1,sim
q38b,2,não
q39,1,em um único dia no mês
q39,2,em 2 dias
q39,3,em 3 dias
q39,4,em 4 dias
q39,5,em 5 dias
q39,6,em 6 dias
q39,7,em 7 ou mais dias
q39,777,não sabe
r200,,
r200,777,não sabe
r200,888,não quis responder
q40,1,sim
q40,2,não
q40,3,não dirijo
q40,888,não quis informar
q40a,,
q40a,777,não sabe
q40b,1,sempre
q40b,2,algumas vezes
q40b,3,quase nunca
q40b,4,nunca
q40b,888,não quis informar
q41,1,não
q41,2,"sim, sempre ou quase sempre"
q41,3,"sim, de vez em quando"
q41,4,"não, adiciono somento quando a comida é preparada sem sal"
q42,1,sim
q42,2,não
q43,1,caminhada (ao ar livre- não vale deslocamento para trabalho)
q43,2,caminhada em esteira
q43,3,corrida (corrida ao ar livre/rua)
q43,4,corrida em esteira
q43,5,musculação
q43,6,"ginástica aeróbica (spinning, step, jump, funcional)"
q43,7,hidroginástica
q43,8,"ginástica em geral (alongamento, pilates, ioga)"
q43,9,natação
q43,10,"artes marciais e luta (jiu-jitsu, karatê, judô, boxe, muay thai, capoeira)"
q43,11,bicicleta (inclui ergométrica)
q43,12,futebol/futsal
q43,13,basquetebol
q43,14,voleibol/futevolei
q43,15,tênis
q43,16,outros
