"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q22","byte ","%8.0g ","q22 ","gordura carne","1","tirar sempre o excesso de gordura","","","",""
"","","","","","2","comer com a gordura","","","",""
"","","","","","3","não come carne vermelha com muita gordura","","","",""
"q23","byte ","%8.0g ","LABC","come frango","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q24","byte ","%8.0g ","q24","pele de frango","1","tirar sempre a pele","","","",""
"","","","","","2","comer com a pele","","","",""
"","","","","","3","não come pedaços de frango com pele","","","",""
"q25","byte ","%8.0g ","LABC","suco frutas","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q26"," byte"," %8.0g ","q26","quanto suco","1","1 copo","","","",""
"","","","","","2","2 copos","","","",""
"","","","","","3","3 ou mais copos","","","",""
"q27"," byte"," %8.0g ","LABC ","freq fruta","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q28"," byte"," %8.0g ","q28","quantas vezes","1","1 vez no dia","","","",""
"","","","","","2","2 vezes no dia","","","",""
"","","","","","3","3 ou mais vezes no dia","","","",""
"q29"," byte"," %8.0g ","LABC","freq refrigerante","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q30"," byte"," %8.0g ","q30","que tipo","1","normal","","","",""
"","","","","","2","diet/ light/ zero","","","",""
"","","","","","3","ambos","","","",""
"q31","int ","%8.0g ","q31 ","qtdd refrigerante","1","1 copo/latinha por dia","","","",""
"","","","","","2","2 copos/latinhas por dia","","","",""
"","","","","","3","3 copos/latinhas por dia","","","",""
"","","","","","4","4 copos/latinhas por dia","","","",""
"","","","","","5","5 copos/latinhas por dia","","","",""
"","","","","","6","6 ou mais copos/latinhas por dia","","","",""
"","","","","","777","não sabe","","","",""
"r301_ (itens A a L)","byte","%8.0g","r301_","alimentos naturais","1","sim","","","",""
"","","","","","2","não","","","",""
"r302_ (itens A a M)","byte","%8.0g","r302_","alimentos industrializados","1","sim","","","",""
"","","","","","2","não","","","",""
"q32","byte  ","%8.0g","LABC ","freqüência de leite","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"q33","int","%8.0g ","q33","tipo de leite","1","integral","","","",""
"","","","","","2","desnatado ou semi-desnatado","","","",""
"","","","","","3","os dois tipos","","","",""
"","","","","","777","não sabe","","","",""
"r143","byte ","%8.0g","LABC ","doces","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
"","","","","","3","5 a 6 dias por semana","","","",""
"","","","","","4","todos os dias ( inclusive sábado e domingo)","","","",""
"","","","","","5","quase nunca","","","",""
"","","","","","6","nunca","","","",""
"r146","byte ","%8.0g","r146 ","quantas vezes come doce por dia","1","1 vez no dia","","","",""
"","","","","","2","2 vezes no dia","","","",""
"","","","","","3","3 ou mais vezes no dia","","","",""
"r144a","byte ","%8.0g","LABC","troca almoço","1","1 a 2 dias por semana","","","",""
"","","","","","2","3 a 4 dias por semana","","","",""
